t,J_propagator,J_onepass,J_bruteforce
118,449.4819291922218,,449.4838581956513
119,449.4896753291077,,449.49160483326034
120,449.49759497248874,,449.49952501373093
121,449.5056971171806,,449.5076277013319
122,449.5139910408221,,449.51592221732
123,449.5224864538964,,449.5244182490624
124,449.53119343302404,,449.53312585947305
125,449.54012240652264,,449.542055496896
126,449.54928422151124,,449.5512180039794
127,449.5586901163073,,449.56062462856016
128,449.5683517591482,,449.57028703245965
129,449.5782812214361,,449.5802173016309
130,449.5884910442292,,449.59042795666716
131,449.59899419196825,,449.60093196293235
132,449.60980406873466,,449.6117427400516
133,449.6209345533874,,449.6228741724902
134,449.63240000910514,,449.6343406200519
135,449.6442153023129,,449.646156927828
136,449.65639572235824,,449.65833843778483
137,449.66895721891376,,449.67090099649397
138,449.6819160221636,,449.6838609709297
139,449.69528911120904,,449.6972352508413
140,449.7090939201184,,449.7110412684942
141,449.7233483483139,,449.72529700367295
142,449.73807102077683,,449.7400209953362
143,449.75328098422244,,449.75523235307725
144,449.7689979672048,,449.7709507670251
145,449.7852421997594,,449.7871965190717
146,449.80203470472503,,449.80399049669074
147,449.81939682009136,,449.8213541963758
148,449.8373507654267,,449.8393097407538
149,449.8559192251545,,449.85787988802
150,449.87512556251056,,449.8770880475186
151,449.89499402130326,,449.89695827675524
152,449.91554924000843,,449.9175153086512
153,449.93681650909207,,449.9387845502935
154,449.9588220975659,,449.9607921078203
155,449.9815928305779,,449.9835647809223
156,450.005155977698,,450.00713008617817
157,450.0295400215964,,450.0315162634703
158,450.0547738432972,,450.05675229086285
159,450.08088709885516,,450.082867891193
160,450.10791048748854,,450.1098935510154
