t,J_propagator,J_onepass,J_bruteforce
92,2610.4265179587596,,2616.17228159011
93,2609.631555313348,,2615.3782145705272
94,2608.8717340754138,,2614.6192467598535
95,2608.1446077103583,,2613.8928466949556
96,2607.448043632009,,2613.1971499587276
97,2606.780917480934,,2612.5307153403323
98,2606.1419114304604,,2611.892366212871
99,2605.5300655176115,,2611.281088432588
100,2604.9442971296708,,2610.6959655220776
101,2604.3840440235344,,2610.13613831424
102,2603.8482543857895,,2609.600780539557
103,2603.336220944686,,2609.0890847191176
104,2602.846981974471,,2608.600254639521
105,2602.379857299314,,2608.1335019582807
106,2601.934198446951,,2607.6880453322274
107,2601.5090052847922,,2607.263111018167
108,2601.103636198658,,2606.8579342671464
109,2600.717229767158,,2606.4717610774387
110,2600.349215404851,,2606.1038500344252
111,2599.9987065287833,,2605.7534740720625
112,2599.665062635193,,2605.419922062408
113,2599.3475697837334,,2605.1025001842017
114,2599.045550685547,,2604.8005330524747
115,2598.758336573397,,2604.513364609185
116,2598.4853405843846,,2604.2403587865697
117,2598.225872129187,,2603.9808999612355
118,2597.979381357768,,2603.7343932204517
119,2597.7452743924937,,2603.5002644630827
120,2597.5230238036875,,2603.277960357559
121,2597.312067521009,,2603.0669481780346
122,2597.111892026404,,2602.8667155385674
123,2596.9220206151695,,2602.6767700431715
124,2596.741971516461,,2602.4966388678613
125,2596.5712853666414,,2602.3258682888695
126,2596.409536809798,,2602.1640231694782
127,2596.2562977878474,,2602.0106864162235
128,2596.111177687352,,2601.8654584136425
129,2595.973787057169,,2601.727956445533
130,2595.843753448749,,2601.5978141091396
131,2595.7207375035377,,2601.4746807280303
132,2595.604391047253,,2601.3582207679715
133,2595.4944023669486,,2601.2481132596668
134,2595.3904601526247,,2601.1440512312743
135,2595.2922712521095,,2601.045741153125
136,2595.1995522079583,,2600.9529023963805
137,2595.1120378766923,,2600.865266707089
138,2595.0294692397943,,2600.782577696575
139,2594.951602416109,,2600.704590348829
140,2594.878201012538,,2600.631070545319
141,2594.8090423497097,,2600.561794607389
142,2594.743913421625,,2600.496548856236
143,2594.682607669261,,2600.435129190266
144,2594.624932611504,,2600.3773406796477
145,2594.5707002988433,5248.516991679927,2600.322997177614
146,2594.519732631435,5248.3819330408,2600.2719209481224
147,2594.471860631691,5248.264964274023,2600.2239423093292
148,2594.4269217856877,5248.165037525977,2600.1788992924235
149,2594.3847614863535,5248.081140154662,2600.1366373151786
150,2594.345232152866,5248.0122950476025,2600.097008869703
151,2594.3081930325006,5247.95756054175,2600.0598732237945
152,2594.2735098523726,5247.916029900108,2600.0250961352945
153,2594.2410544503255,5247.886830405689,2599.9925495788934
154,2594.210704817748,5247.869122372828,2599.962111484816
155,2594.1823445475984,5247.862098827436,2599.9336654887875
156,2594.1558625530342,5247.8649873305485,2599.9071006928198
157,2594.1311534889664,5247.877054085333,2599.8823114362217
158,2594.1081163952626,5247.897609704246,2599.859197076394
159,2594.086655626239,5247.926014886416,2599.8376617788704
160,2594.066679904971,5247.96168393482,2599.817614316193
161,2594.048102443684,5248.004090153581,2599.798967875169
162,2594.0308407568805,5248.0527739609615,2599.781639872075
163,2594.014816263035,5248.107354756802,2599.765551775456
164,2593.999954382053,5248.16754793978,2599.7506289360826
165,2593.9861842461237,5248.233188984144,2599.736800423793
166,2593.9734384715216,,2599.723998870816
167,2593.961653205133,,2599.7121603213077
168,2593.950767794411,,2599.7012240867775
169,2593.940724744322,,2599.691132607143
170,2593.931469495509,,2599.6818313171684
171,2593.9229504665436,,2599.6732685179954
172,2593.91511872218,,2599.66539525357
173,2593.907928008967,,2599.658165191773
174,2593.901334555827,,2599.6515345099992
175,2593.8952970142527,,2599.645461785018
176,2593.889776303983,,2599.639907886973
177,2593.8847355518496,,2599.6348358772934
178,2593.8801399834124,,2599.6302109104254
179,2593.8759568102723,,2599.6260001391715
180,2593.8721551549866,,2599.622172623557
181,2593.8687059616686,,2599.618699243077
182,2593.865581909448,,2599.6155526121647
183,2593.862757326545,,2599.6127069988424
184,2593.8602081180793,,2599.610138246371
185,2593.8579116897613,,2599.6078236978396
186,2593.855846869355,,2599.60574212359
187,2593.8539938447534,,2599.6038736513738
188,2593.852334093348,,2599.6021996991626
189,2593.8508503132257,,2599.6007029105167
190,2593.8495263686054,,2599.599367092459
191,2593.8483472240428,,2599.598177155722
192,2593.847298890474,,2599.5971190573646
193,2593.846368367178,,2599.5961797456225
194,2593.8455435914548,,2599.595347106951
195,2593.8448133873553,,2599.5946099152193
196,2593.8441674131896,,2599.5939577829436
197,2593.843596121443,,2599.593381114561
198,2593.843090706616,,2599.5928710616718
199,2593.842643069474,,2599.5924194802096
200,2593.8422457699203,,2599.592018889497
